case,source,etaP,Vs,r0,alpha,rho,cp,Tv-T0,Lv,Tl-T0,Lm,e,Ke,e*
keyhole,Mat1,45.62,0.4,0.0000475,1.03E-05,3920,830,3267,9255000,1630,286000,0.000033008,4.127513106,0.694905263
keyhole,Mat1,64.64,0.4,0.0000475,1.03E-05,3920,830,3267,9255000,1630,286000,8.53E-05,5.848969038,1.796282105
keyhole,Mat1,84.68,0.4,0.0000475,1.03E-05,3920,830,3267,9255000,1630,286000,0.000130389,7.662081909,2.745031579
keyhole,Mat1,124.86,0.4,0.0000475,1.03E-05,3920,830,3267,9255000,1630,286000,0.000226766,11.29697735,4.774021053
keyhole,Mat1,142.17,0.4,0.0000475,1.03E-05,3920,830,3267,9255000,1630,286000,0.00025932,12.86357718,5.459368421
keyhole,Mat1,35.11,0.6,0.0000475,1.03E-05,3920,830,3267,9255000,1630,286000,0.000015258,2.593641917,0.321221053
keyhole,Mat1,68.94,0.6,0.0000475,1.03E-05,3920,830,3267,9255000,1630,286000,7.66E-05,5.092703159,1.613448421
keyhole,Mat1,87.78,0.6,0.0000475,1.03E-05,3920,830,3267,9255000,1630,286000,0.000102954,6.484480248,2.167452632
keyhole,Mat1,107.41,0.6,0.0000475,1.03E-05,3920,830,3267,9255000,1630,286000,0.00011927,7.935318397,2.510947368
keyhole,Mat1,148.11,0.6,0.0000475,1.03E-05,3920,830,3267,9255000,1630,286000,0.0001694,10.94158073,3.566315789
keyhole,Mat1,168.81,0.6,0.0000475,1.03E-05,3920,830,3267,9255000,1630,286000,0.000204466,12.47124559,4.304547368
keyhole,Mat1,229.94,0.6,0.0000475,1.03E-05,3920,830,3267,9255000,1630,286000,0.000310908,16.98722397,6.545431579
keyhole,Mat1,271.05,0.6,0.0000475,1.03E-05,3920,830,3267,9255000,1630,286000,0.000361039,20.02448074,7.600821053
keyhole,Mat1,311.6,0.6,0.0000475,1.03E-05,3920,830,3267,9255000,1630,286000,0.00039992,23.0198807,8.419368421
keyhole,Mat1,31.4,0.7,0.0000475,1.03E-05,3920,830,3267,9255000,1630,286000,0.000015258,2.147941128,0.321221053
keyhole,Mat1,62.78,0.7,0.0000475,1.03E-05,3920,830,3267,9255000,1630,286000,6.16E-05,4.294186983,1.297658947
keyhole,Mat1,99.38,0.7,0.0000475,1.03E-05,3920,830,3267,9255000,1630,286000,0.00011677,6.796977366,2.458315789
keyhole,Mat1,138.89,0.7,0.0000475,1.03E-05,3920,830,3267,9255000,1630,286000,0.0001644,9.499777464,3.461052632
keyhole,Mat1,178.72,0.7,0.0000475,1.03E-05,3920,830,3267,9255000,1630,286000,0.000219528,12.22379832,4.621642105
keyhole,Mat1,221.39,0.7,0.0000475,1.03E-05,3920,830,3267,9255000,1630,286000,0.000257162,15.14206828,5.413936842
keyhole,Mat1,262.9,0.7,0.0000475,1.03E-05,3920,830,3267,9255000,1630,286000,0.000307543,17.98147013,6.474589474
keyhole,Mat1,302.97,0.7,0.0000475,1.03E-05,3920,830,3267,9255000,1630,286000,0.00035142,20.72177687,7.398315789
keyhole,Mat1,342.6,0.7,0.0000475,1.03E-05,3920,830,3267,9255000,1630,286000,0.000445047,23.4323115,9.369410526
keyhole,Mat1,54.78,0.9,0.0000475,1.03E-05,3920,830,3267,9255000,1630,286000,6.21E-05,3.304390994,1.307528421
keyhole,Mat1,86.94,0.9,0.0000475,1.03E-05,3920,830,3267,9255000,1630,286000,9.95E-05,5.243982473,2.094324211
keyhole,Mat1,123.67,0.9,0.0000475,1.03E-05,3920,830,3267,9255000,1630,286000,0.00014935,7.459930816,3.144210526
keyhole,Mat1,161.67,0.9,0.0000475,1.03E-05,3920,830,3267,9255000,1630,286000,0.000171722,9.752157562,3.6152
keyhole,Mat1,203.31,0.9,0.0000475,1.03E-05,3920,830,3267,9255000,1630,286000,0.000237838,12.26343621,5.007115789
keyhole,Mat1,243.42,0.9,0.0000475,1.03E-05,3920,830,3267,9255000,1630,286000,0.000261461,14.68314478,5.504442105
keyhole,Mat1,284.97,0.9,0.0000475,1.03E-05,3920,830,3267,9255000,1630,286000,0.00033733,17.18938551,7.101684211
keyhole,Mat1,326.51,0.9,0.0000475,1.03E-05,3920,830,3267,9255000,1630,286000,0.000373699,19.69491279,7.867347368
keyhole,Mat1,80.4,1,0.0000475,1.03E-05,3920,830,3267,9255000,1630,286000,0.000085734,4.600682713,1.804926316
keyhole,Mat1,153.47,1,0.0000475,1.03E-05,3920,830,3267,9255000,1630,286000,0.000174222,8.782046726,3.667831579
keyhole,Mat1,192.01,1,0.0000475,1.03E-05,3920,830,3267,9255000,1630,286000,0.000207845,10.98786071,4.375684211
keyhole,Mat1,232.74,1,0.0000475,1.03E-05,3920,830,3267,9255000,1630,286000,0.000223964,13.31822234,4.715031579
keyhole,Mat1,275.21,1,0.0000475,1.03E-05,3920,830,3267,9255000,1630,286000,0.00029133,15.74846253,6.133263158
keyhole,Mat1,316.76,1,0.0000475,1.03E-05,3920,830,3267,9255000,1630,286000,0.000308699,18.12652002,6.498926316
keyhole,Mat1,76.35,1.1,0.0000475,1.03E-05,3920,830,3267,9255000,1630,286000,7.95E-05,4.165563122,1.673271579
keyhole,Mat1,145.88,1.1,0.0000475,1.03E-05,3920,830,3267,9255000,1630,286000,0.000145472,7.95947084,3.062568421
keyhole,Mat1,225.82,1.1,0.0000475,1.03E-05,3920,830,3267,9255000,1630,286000,0.000231457,12.32096526,4.872778947
keyhole,Mat1,306.99,1.1,0.0000475,1.03E-05,3920,830,3267,9255000,1630,286000,0.000283699,16.74982222,5.972610526
keyhole,Mat1,43.65,1.2,0.0000475,1.03E-05,3920,830,3267,9255000,1630,286000,3.46E-05,2.2800192,0.728656842
keyhole,Mat1,71.91,1.2,0.0000475,1.03E-05,3920,830,3267,9255000,1630,286000,7.82E-05,3.756298029,1.646955789
keyhole,Mat1,103.41,1.2,0.0000475,1.03E-05,3920,830,3267,9255000,1630,286000,9.56E-05,5.40220823,2.012698947
keyhole,Mat1,139.91,1.2,0.0000475,1.03E-05,3920,830,3267,9255000,1630,286000,0.000135469,7.308766883,2.851978947
keyhole,Mat1,176.62,1.2,0.0000475,1.03E-05,3920,830,3267,9255000,1630,286000,0.000161592,9.226468564,3.401936842
keyhole,Mat1,256.31,1.2,0.0000475,1.03E-05,3920,830,3267,9255000,1630,286000,0.00021633,13.38942191,4.554315789
keyhole,Mat1,296.22,1.2,0.0000475,1.03E-05,3920,830,3267,9255000,1630,286000,0.000271203,15.47377306,5.709536842
keyhole,Mat1,39.66,0.4,0.00007,1.03E-05,3920,830,3267,9255000,1630,286000,2.34E-05,2.005814929,0.334665714
keyhole,Mat1,53.55,0.4,0.00007,1.03E-05,3920,830,3267,9255000,1630,286000,2.71E-05,2.708471753,0.387354286
keyhole,Mat1,62.33,0.4,0.00007,1.03E-05,3920,830,3267,9255000,1630,286000,2.96E-05,3.152388496,0.42255
keyhole,Mat1,69.63,0.4,0.00007,1.03E-05,3920,830,3267,9255000,1630,286000,5.20E-05,3.521780256,0.743562857
keyhole,Mat1,79.08,0.4,0.00007,1.03E-05,3920,830,3267,9255000,1630,286000,5.20E-05,3.999455783,0.743044286
keyhole,Mat1,87.85,0.4,0.00007,1.03E-05,3920,830,3267,9255000,1630,286000,8.20E-05,4.44302459,1.171148571
keyhole,Mat1,106.05,0.4,0.00007,1.03E-05,3920,830,3267,9255000,1630,286000,0.000109415,5.363373191,1.563071429
keyhole,Mat1,123.9,0.4,0.00007,1.03E-05,3920,830,3267,9255000,1630,286000,0.000146853,6.266301099,2.0979
keyhole,Mat1,40.44,0.7,0.00007,1.03E-05,3920,830,3267,9255000,1630,286000,1.46E-05,1.545937427,0.208731429
keyhole,Mat1,59.77,0.7,0.00007,1.03E-05,3920,830,3267,9255000,1630,286000,3.32E-05,2.285247963,0.47472
keyhole,Mat1,72.73,0.7,0.00007,1.03E-05,3920,830,3267,9255000,1630,286000,4.44E-05,2.78043166,0.634551429
keyhole,Mat1,87.36,0.7,0.00007,1.03E-05,3920,830,3267,9255000,1630,286000,5.94E-05,3.340024018,0.847902857
keyhole,Mat1,102.85,0.7,0.00007,1.03E-05,3920,830,3267,9255000,1630,286000,6.80E-05,3.932022406,0.971968571
keyhole,Mat1,119.09,0.7,0.00007,1.03E-05,3920,830,3267,9255000,1630,286000,7.30E-05,4.552834859,1.042462857
keyhole,Mat1,153.49,0.7,0.00007,1.03E-05,3920,830,3267,9255000,1630,286000,0.000109092,5.868122324,1.558457143
keyhole,Mat1,191.02,0.7,0.00007,1.03E-05,3920,830,3267,9255000,1630,286000,0.000138957,7.30298252,1.9851
keyhole,Mat1,267.37,0.7,0.00007,1.03E-05,3920,830,3267,9255000,1630,286000,0.000209949,10.222184,2.999271429
keyhole,Mat1,54.04,1,0.00007,1.03E-05,3920,830,3267,9255000,1630,286000,1.82E-05,1.728598954,0.260434286
keyhole,Mat1,60.84,1,0.00007,1.03E-05,3920,830,3267,9255000,1630,286000,0.000023165,1.946186406,0.330928571
keyhole,Mat1,67.27,1,0.00007,1.03E-05,3920,830,3267,9255000,1630,286000,3.69E-05,2.151681509,0.526474286
keyhole,Mat1,79.38,1,0.00007,1.03E-05,3920,830,3267,9255000,1630,286000,3.68E-05,2.539097412,0.52554
keyhole,Mat1,93.4,1,0.00007,1.03E-05,3920,830,3267,9255000,1630,286000,5.05E-05,2.987459269,0.720981429
keyhole,Mat1,121.23,1,0.00007,1.03E-05,3920,830,3267,9255000,1630,286000,7.41E-05,3.877804418,1.058451429
keyhole,Mat2,128.49,0.3,0.000044,3.19E-05,2415,1170,2499,10530000,622,380000,0.00039,25.79446765,8.863636364
keyhole,Mat2,188.15,0.3,0.000044,3.19E-05,2415,1170,2499,10530000,622,380000,0.000562,37.7722864,12.77272727
keyhole,Mat2,93.65,0.45,0.000044,3.19E-05,2415,1170,2499,10530000,622,380000,0.000225,15.35065723,5.113636364
keyhole,Mat2,139.89,0.45,0.000044,3.19E-05,2415,1170,2499,10530000,622,380000,0.000332,22.9303175,7.545454545
keyhole,Mat2,73.53,0.6,0.000044,3.19E-05,2415,1170,2499,10530000,622,380000,0.000182,10.43743519,4.136363636
keyhole,Mat2,111,0.6,0.000044,3.19E-05,2415,1170,2499,10530000,622,380000,0.000232,15.75708547,5.272727273
keyhole,Mat2,60.48,0.75,0.000044,3.19E-05,2415,1170,2499,10530000,622,380000,0.000089,7.679208089,2.022727273
keyhole,Mat2,91.91,0.75,0.000044,3.19E-05,2415,1170,2499,10530000,622,380000,0.000161,11.6694073,3.659090909
keyhole,Mat2,51.35,0.9,0.000044,3.19E-05,2415,1170,2499,10530000,622,380000,0.00007,5.952109699,1.590909091
keyhole,Mat2,78.39,0.9,0.000044,3.19E-05,2415,1170,2499,10530000,622,380000,0.000115,9.085346518,2.613636364
keyhole,Mat2,168.89,0.35,0.000044,3.19E-05,2415,1170,2499,10530000,622,380000,0.0005302,31.39064937,12.05
keyhole,Mat2,60.53,1.2,0.000044,3.19E-05,2415,1170,2499,10530000,622,380000,0.0000588,6.07621996,1.336363636
keyhole,Mat3,74.71,0.6,0.000055,4.95E-06,6881,790,2829,6336000,1430,260000,0.00009358,4.352926239,1.701454545
keyhole,Mat3,144.21,0.6,0.000055,4.95E-06,6881,790,2829,6336000,1430,260000,0.000181,8.401831793,3.290909091
keyhole,Mat3,222.17,0.6,0.000055,4.95E-06,6881,790,2829,6336000,1430,260000,0.000267,12.94446314,4.854545455
keyhole,Mat3,303.8,0.6,0.000055,4.95E-06,6881,790,2829,6336000,1430,260000,0.00038,17.69996956,6.909090909
keyhole,Mat3,111.09,0.3,0.000055,4.95E-06,6881,790,2829,6336000,1430,260000,0.000209124,9.153117662,3.80224628
keyhole,Mat3,193.19,0.3,0.000055,4.95E-06,6881,790,2829,6336000,1430,260000,0.000333664,15.91850638,6.066624625
keyhole,Mat3,274.84,0.3,0.000055,4.95E-06,6881,790,2829,6336000,1430,260000,0.000492085,22.64557338,8.947